reit,point,as_of,gav_inr_cr,msf_completed,msf_under_construction,msf_completed_plus_uc,uc_is_carried,msf_future_dev,msf_total_headline,assets
Embassy,IPO,Dec 2018,31480,24.8,2.5,27.3,,5.4,32.7,11
Embassy,Q1FY20,Jun 2019,31610,24.8,1.4,26.2,,,32.7,11
Embassy,Q2FY20,Sep 2019,32110,24.8,1.4,26.2,,,32.7,11
Embassy,Q3FY20,Dec 2019,32110,24.8,2.6,27.4,,,33.3,11
Embassy,Q4FY20,Mar 2020,33170,26.2,2.6,28.8,,,33.3,11
Embassy,Q1FY21,Jun 2020,33170,26.2,2.7,28.9,,,33.3,11
Embassy,Q2FY21,Sep 2020,33700,26.2,2.7,28.9,,,33.3,11
Embassy,Q3FY21,Dec 2020,44500,32.3,5.7,38,,,42.4,12
Embassy,Q4FY21,Mar 2021,46600,32.3,5.7,38,,,42.4,12
Embassy,Q1FY22,Jun 2021,46600,32.3,5.7,38,,,42.4,12
Embassy,Q2FY22,Sep 2021,47500,32.3,5.7,38,,,42.4,12
Embassy,Q3FY22,Dec 2021,47500,33.6,4.6,38.2,,,42.6,12
Embassy,Q4FY22,Mar 2022,49400,33.8,4.6,38.4,,,42.8,12
Embassy,Q1FY23,Jun 2022,49400,33.8,4.6,38.4,,,42.8,12
Embassy,Q2FY23,Sep 2022,50840,33.4,7.1,40.5,,2.7,43.2,12
Embassy,Q3FY23,Dec 2022,50840,34.3,6.6,40.9,,2.8,43.6,12
Embassy,Q4FY23,Mar 2023,50790,34.3,7.9,42.2,,2.8,45,13
Embassy,Q1FY24,Jun 2023,50790,34.3,7.9,42.2,,2.8,45,13
Embassy,Q2FY24,Sep 2023,52700,35.3,7.1,42.4,,2.8,45.3,13
Embassy,Q3FY24,Dec 2023,52700,35.8,6.9,42.7,,2.8,45.4,13
Embassy,Q4FY24,Mar 2024,55500,36.5,6.1,42.6,,2.8,45.4,13
Embassy,Q1FY25,Jun 2024,55500,37.7,8.6,46.3,,4.8,51,14
Embassy,Q2FY25,Sep 2024,59100,38.4,8,46.4,,4.8,51.1,14
Embassy,Q3FY25,Dec 2024,59100,38.9,7.4,46.3,,4.8,51.1,14
Embassy,Q4FY25,Mar 2025,61200,40.3,6.1,46.4,,4.8,51.1,14
Embassy,Q1FY26,Jun 2025,61200,40.4,6.1,46.5,,4.8,51.2,14
Embassy,Q2FY26,Sep 2025,63980,40.9,7.2,48.1,,2.8,51,14
Embassy,Q3FY26,Dec 2025,63980,41.1,7.6,48.7,,2.8,51.6,14
Embassy,Q4FY26,Mar 2026,70540,43.6,,51.2,1,,52.6,14
Mindspace,IPO,Mar 2020,23680,23,2.8,25.8,,3.6,29.5,10
Mindspace,Q2FY21,Sep 2020,24010,23.9,2,25.9,,3.6,29.5,10
Mindspace,Q3FY21,Dec 2020,24010,23.9,2,25.9,,3.6,29.5,10
Mindspace,Q4FY21,Mar 2021,24620,23.9,2.1,26,,4.3,30.2,10
Mindspace,Q1FY22,Jun 2021,24620,23.8,1.8,25.6,,5.6,31.2,10
Mindspace,Q2FY22,Sep 2021,25700,23.9,1.8,25.7,,5.6,31.3,10
Mindspace,Q3FY22,Dec 2021,25700,24.2,1.8,26,,5.3,31.3,10
Mindspace,Q4FY22,Mar 2022,26400,24.2,3,27.2,,4.6,31.8,10
Mindspace,Q1FY23,Jun 2022,26400,24.4,2.8,27.2,,4.6,31.8,10
Mindspace,Q2FY23,Sep 2022,27280,24.9,2.4,27.3,,4.6,31.9,10
Mindspace,Q3FY23,Dec 2022,27300,25.6,1.8,27.4,,4.6,32,10
Mindspace,Q4FY23,Mar 2023,28030,25.8,2.5,28.3,,3.7,32,10
Mindspace,Q1FY24,Jun 2023,28000,25.9,2.5,28.4,,3.7,32.1,10
Mindspace,Q2FY24,Sep 2023,28670,26.1,2.9,29,,3.3,32.3,10
Mindspace,Q3FY24,Dec 2023,28700,26.2,4.4,30.6,,2.5,33.1,10
Mindspace,Q4FY24,Mar 2024,29870,26.3,4.4,30.7,,2.5,33.2,10
Mindspace,Q1FY25,Jun 2024,29870,26.3,4.4,30.7,,2.8,33.6,10
Mindspace,Q2FY25,Sep 2024,31350,26.4,4.4,30.8,,3.9,34.7,10
Mindspace,Q3FY25,Dec 2024,31350,26.8,,31.2,1,,34.8,10
Mindspace,Q4FY25,Mar 2025,36650,30,,34.4,1,,37.1,11
Mindspace,Q1FY26,Jun 2025,37210,30.2,,34.6,1,,38.1,12
Mindspace,Q2FY26,Sep 2025,41020,31,,35.4,1,,38.2,12
Mindspace,Q3FY26,Dec 2025,44130,31.2,,35.6,1,,39,15
Mindspace,Q4FY26,Mar 2026,47600,32,,36.4,1,,39.3,15
Brookfield,IPO,Sep 2020,11410,10.3,0.1,10.4,,3.7,14,4
Brookfield,Q4FY21,Mar 2021,11500,10.3,,10.4,1,3.7,14,4
Brookfield,Q1FY22,Jun 2021,11500,10.3,,10.4,1,3.7,14,4
Brookfield,Q2FY22,Sep 2021,11700,10.3,,10.4,1,3.7,14,4
Brookfield,Q3FY22,Dec 2021,15600,13.9,,14,1,4.7,18.6,5
Brookfield,Q4FY22,Mar 2022,16000,14.1,,14.2,1,4.6,18.6,5
Brookfield,Q1FY23,Jun 2022,16000,14.2,,14.3,1,4.4,18.6,5
Brookfield,Q2FY23,Sep 2022,16400,14.3,,14.4,1,4.4,18.7,5
Brookfield,Q3FY23,Dec 2022,16400,14.3,0.6,14.9,,3.8,18.7,5
Brookfield,Q4FY23,Mar 2023,16400,14.3,0.6,14.9,,3.8,18.7,5
Brookfield,Q1FY24,Jun 2023,,14.3,,14.9,1,,18.7,5
Brookfield,Q2FY24,Sep 2023,28500,20.7,0.7,21.4,,3.9,25.3,6
Brookfield,Q3FY24,Dec 2023,,20.7,0.7,21.4,,3.9,25.4,6
Brookfield,Q4FY24,Mar 2024,29200,20.9,,21.6,1,4.6,25.5,
Brookfield,Q1FY25,Jun 2024,35700,24.2,,24.9,1,4.6,28.8,
Brookfield,Q2FY25,Sep 2024,36800,24.3,,25,1,4.6,28.9,
Brookfield,Q3FY25,Dec 2024,36800,24.3,,25,1,4.6,28.9,
Brookfield,Q4FY25,Mar 2025,38000,24.5,,25.2,1,4.5,29,
Brookfield,Q1FY26,Jun 2025,38000,24.5,,25.2,1,4.5,29,11
Brookfield,Q2FY26,Sep 2025,39600,24.6,,25.3,1,4.5,29.1,
Brookfield,Q3FY26,Dec 2025,,32.4,,33.1,1,4.6,37,
Brookfield,Q4FY26,Mar 2026,56500,32.5,,33.2,1,4.6,37.1,
Nexus,IPO,Dec 2022,23499,9.9,0,9.9,,0,9.9,17
Nexus,Q1FY24,Jun 2023,23499,9.9,0,9.9,,0,9.9,17
Nexus,Q2FY24,Sep 2023,24353,9.9,0,9.9,,0,9.9,17
Nexus,Q3FY24,Dec 2023,24353,9.9,0,9.9,,0,9.9,17
Nexus,Q4FY24,Mar 2024,25393,9.9,0,9.9,,0,9.9,17
Nexus,Q1FY25,Jun 2024,25393,9.9,0,9.9,,0,9.9,17
Nexus,Q2FY25,Sep 2024,25836,9.9,0,9.9,,0,9.9,17
Nexus,Q3FY25,Dec 2024,25836,9.9,0,9.9,,0,9.9,17
Nexus,Q4FY25,Mar 2025,27500,10.4,0,10.4,,0,10.4,18
Nexus,Q1FY26,Jun 2025,,10.6,0,10.6,,0,10.6,19
Nexus,Q2FY26,Sep 2025,29253,10.6,0,10.6,,0,10.6,19
Nexus,Q3FY26,Dec 2025,,,,,,,,
Nexus,Q4FY26,Mar 2026,30558,10.7,0,10.7,,0,10.7,19
KRT,IPO,Mar 2025,62000,37.1,1.2,38.3,,8,46.3,29
KRT,Q2FY26,Sep 2025,64550,37.2,1.1,38.3,,8,46.3,29
KRT,Q3FY26,Dec 2025,64550,37.2,,38.3,1,,46.4,29
KRT,Q4FY26,Mar 2026,67410,37.2,1.2,38.4,,8,46.5,29
Bagmane,IPO,Dec 2025,40260,16.6,1,17.6,,2,19.6,6
