reit,basis,sector,share_pct
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Technology",29
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Financial Services",26
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Research, Consulting & Analytics",10
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Retail",7
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Co-working",7
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Healthcare",6
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Telecom",3
Embassy,% of Gross Rental Obligations as of March 31; 2026,"Others",12
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Technology (Health Tech, Dev. & Processes)",37.4
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Financial Services",16.8
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Engineering & Manufacturing",10.1
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Telecom & Media",9.7
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Flexible workspace",8.6
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Manufacturing & Processes",6.9
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Professional services",5.3
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Healthcare & Pharma",2.2
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"E-commerce",1
Mindspace,% of Gross Contracted Rentals as of March 31; 2026,"Others",2
Brookfield,% of gross contracted rentals as of March 31; 2026,"BFSI",22
Brookfield,% of gross contracted rentals as of March 31; 2026,"Technology Services",20
Brookfield,% of gross contracted rentals as of March 31; 2026,"Consulting",13
Brookfield,% of gross contracted rentals as of March 31; 2026,"Technology Products",8
Brookfield,% of gross contracted rentals as of March 31; 2026,"Retail and F&B",5
Brookfield,% of gross contracted rentals as of March 31; 2026,"Telecom",5
Brookfield,% of gross contracted rentals as of March 31; 2026,"Industrials and Logistics",4
Brookfield,% of gross contracted rentals as of March 31; 2026,"Healthcare",4
Brookfield,% of gross contracted rentals as of March 31; 2026,"Real Estate and Infrastructure",2
Brookfield,% of gross contracted rentals as of March 31; 2026,"Others",17
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Technology",35
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Banking, Financial Services and Insurance",24
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Engineering and Manufacturing",7
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Pharma and Healthcare",7
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Research, Consulting and Analytics",6
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Co-working",4
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Infrastructure, Real Estate and Logistics",4
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Media",3
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"FMCG and Retail",3
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Telecom",2
KRT,Portfolio share; % by Gross Rents as of March 31; 2026,"Others",5
Nexus,Trade category share of gross rentals (%),"Apparel & Accessories",42
Nexus,Trade category share of gross rentals (%),"Food & Beverages (F&B)",12
Nexus,Trade category share of gross rentals (%),"Footwear & Fitness",9
Nexus,Trade category share of gross rentals (%),"FEC and Multiplex",9
Nexus,Trade category share of gross rentals (%),"Departmental Store",7
Nexus,Trade category share of gross rentals (%),"Beauty & Personal Care",7
Nexus,Trade category share of gross rentals (%),"Electronics",4
Nexus,Trade category share of gross rentals (%),"Hypermarket",3
Nexus,Trade category share of gross rentals (%),"Jewellery",2
Nexus,Trade category share of gross rentals (%),"Homeware",2
Nexus,Trade category share of gross rentals (%),"Others",3
