reit,tenant,sector,share_of_rentals
Embassy,"JP Morgan","Financial Services",6.2%
Embassy,"IBM India","Technology",5.9%
Embassy,"ANSR","Consulting",4.9%
Embassy,"Major Australian Bank","Financial Services",4.5%
Embassy,"Fortune 500 Retail Major","Retail",3.6%
Brookfield,"Tata Consultancy Services","Technology Services",5%
Brookfield,"Accenture","Consulting",5%
Brookfield,"Bharti Airtel","Telecom",3%
Brookfield,"A Global Financial Institution","BFSI",3%
Brookfield,"Capgemini","Technology Services",3%
Brookfield,"A Global Consulting Firm","Consulting",3%
Brookfield,"Cognizant","Technology Services",2%
Brookfield,"Morgan Stanley","BFSI",2%
Brookfield,"CoWrks","Co-working",2%
Brookfield,"Global Financial Services Firm","BFSI",2%
KRT,"Cisco","",5%
KRT,"Google","",5%
KRT,"J.P. Morgan Services","",4%
KRT,"ServiceNow","",2%
KRT,"JioStar","",2%
KRT,"Indian Digital Payments Giant","",2%
KRT,"Amazon","",2%
KRT,"Novartis","",2%
KRT,"The Cigna Group","",2%
KRT,"Big 4 Accounting Firm","",2%
