Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-July-2026,339.45,340.27,338.00,339.73,339.789689951438177063,5354,220,1819234.00,4848,90.55,2.27,0.28
15-July-2026,340.00,343.34,339.71,340.26,341.357656250000000000,6400,282,2184689.00,5807,90.73,3.63,0.26
14-July-2026,338.60,341.22,338.60,340.15,339.920284135753749013,2534,205,861358.00,1899,74.94,2.62,1.55
13-July-2026,337.70,342.74,336.49,340.95,339.471625766871165644,13040,678,4426710.00,9865,75.65,6.25,3.25
10-July-2026,337.93,338.12,335.24,338.01,336.764808743169398907,4575,342,1540699.00,3390,74.10,2.88,0.08
9-July-2026,336.26,339.00,335.45,336.54,337.388924870466321243,3088,285,1041857.00,1951,63.18,3.55,0.28
8-July-2026,338.55,340.10,336.06,337.73,338.176958239714883396,12907,419,4364850.00,11739,90.95,4.04,-0.82
7-July-2026,338.50,340.95,338.50,340.03,339.950206948451022199,7973,465,2710423.00,6923,86.83,2.45,1.53
6-July-2026,338.28,340.00,337.04,339.82,338.505654657805759589,8577,337,2903363.00,6906,80.52,2.96,1.54
3-July-2026,339.30,339.53,336.00,336.92,337.500241118791191126,6221,464,2099589.00,5170,83.11,3.53,-2.38
2-July-2026,337.00,340.00,333.76,337.27,336.844688644688644688,16380,1119,5517516.00,11603,70.84,6.24,0.27
1-July-2026,330.25,336.89,330.00,334.21,335.251236872457961512,131784,1258,44180749.00,127461,96.72,6.89,3.96
30-June-2026,324.89,333.05,324.50,331.40,328.366354044548651817,13648,567,4481544.00,10220,74.88,8.55,6.51
29-June-2026,323.49,324.25,322.60,323.91,323.585233107414253440,9738,269,3151073.00,7866,80.78,1.65,0.42
25-June-2026,322.08,323.97,320.61,322.59,322.303724331780444004,38423,767,12383876.00,34850,90.70,3.36,0.51
24-June-2026,320.50,322.09,320.01,321.99,321.320226308345120226,14140,331,4543468.00,13074,92.46,2.08,1.49
23-June-2026,320.66,322.47,319.32,321.77,322.211203269623752854,33276,471,10721900.00,30677,92.19,3.15,1.11
22-June-2026,322.48,322.48,321.81,322.07,322.294300840859545312,6422,518,2069774.00,5535,86.19,0.67,-0.41
19-June-2026,319.02,322.76,319.02,321.87,321.842492273123972361,622179,1202,200243640.00,612924,98.51,3.74,2.85
18-June-2026,319.85,321.08,319.00,320.81,320.523519418897545545,17071,453,5471657.00,14088,82.53,2.08,0.96
17-June-2026,319.80,320.85,318.95,319.73,320.227354664263181613,17752,605,5684676.00,13502,76.06,1.90,-0.07
16-June-2026,319.53,319.83,318.28,319.02,319.084335219236209335,5656,572,1804741.00,4199,74.24,1.55,-0.51
15-June-2026,319.60,320.03,318.04,319.53,319.058177943526904635,9385,651,2994361.00,7747,82.55,1.99,-0.07
12-June-2026,321.00,321.00,319.32,319.46,319.734636871508379888,7160,479,2289300.00,4498,62.82,1.68,-1.54
11-June-2026,319.68,320.60,318.99,319.30,319.592220598977355734,5476,312,1750087.00,4723,86.25,1.61,-0.38
10-June-2026,320.00,320.10,319.00,319.22,319.379952267303102625,2095,294,669101.00,1760,84.01,1.10,-0.78
9-June-2026,316.00,320.40,316.00,319.05,319.147767332549941245,6808,379,2172758.00,5657,83.09,4.40,3.05
8-June-2026,319.90,320.79,318.88,319.09,319.730067871453103279,12229,759,3909979.00,8983,73.46,1.91,-0.81
5-June-2026,321.38,321.74,319.03,319.48,320.872932330827067669,10640,284,3414088.00,9795,92.06,2.71,-1.90
4-June-2026,319.30,320.56,318.72,319.48,319.316920322291853178,5585,475,1783385.00,3844,68.83,1.84,0.18
3-June-2026,320.60,320.60,319.00,320.20,319.597347440578198345,13421,768,4289316.00,12978,96.70,1.60,-0.40
2-June-2026,324.00,324.00,318.52,319.08,320.727559933097937186,5381,546,1725835.00,3876,72.03,5.48,-4.92
1-June-2026,319.39,321.29,318.00,319.72,319.959048553212358999,8156,616,2609586.00,6090,74.67,3.29,0.33
29-May-2026,319.73,321.33,317.00,318.85,319.810869565217391304,8740,641,2795147.00,6791,77.70,4.33,-0.88
27-May-2026,320.00,321.02,319.00,319.73,319.737561265409178672,6733,625,2152793.00,5530,82.13,2.02,-0.27
26-May-2026,319.04,321.19,319.00,320.16,320.168294051627384960,71280,635,22821596.00,70076,98.31,2.19,1.12
25-May-2026,320.05,321.34,319.51,319.97,320.217410848067126161,13348,721,4274262.00,11466,85.90,1.83,-0.08
22-May-2026,318.30,321.98,318.30,320.63,320.851220063262539539,8852,512,2840175.00,7258,81.99,3.68,2.33
21-May-2026,319.25,322.07,319.00,320.05,320.038657551274083281,8045,480,2574711.00,6093,75.74,3.07,0.80
20-May-2026,321.70,322.36,319.90,320.58,320.974586692171061620,7319,465,2349213.00,5687,77.70,2.46,-1.12
19-May-2026,321.10,322.99,320.50,321.04,321.263375276150225722,10411,426,3344673.00,9121,87.61,2.49,-0.06
18-May-2026,322.70,322.70,319.10,321.77,320.127229488703923900,8410,691,2692270.00,6447,76.66,3.60,-0.93
15-May-2026,322.75,322.75,321.00,321.15,322.116741395226163787,30332,1093,9770445.00,21622,71.28,1.75,-1.60
14-May-2026,322.69,322.85,320.89,321.80,321.896250642013353877,29205,579,9400980.00,25226,86.38,1.96,-0.89
13-May-2026,327.70,327.70,324.84,326.67,326.378484107579462102,44990,968,14683768.00,40075,89.08,2.86,-1.03
12-May-2026,326.70,326.70,323.25,325.48,324.600858769719032950,32139,786,10432347.00,29173,90.77,3.45,-1.22
11-May-2026,326.70,327.00,325.22,326.11,326.466753585397653194,26845,1634,8764000.00,25341,94.40,1.78,-0.59
8-May-2026,323.00,326.99,323.00,326.70,326.377453820659605534,43147,1449,14082208.00,39940,92.57,3.99,3.70
7-May-2026,320.10,325.90,320.10,324.15,323.808911900418499839,37276,1686,12070301.00,32982,88.48,5.80,4.05
6-May-2026,319.00,323.14,316.06,321.41,319.138408782306506179,43451,2107,13866883.00,23806,54.79,7.08,2.41
5-May-2026,329.00,329.00,315.60,319.17,319.958058797068084993,75582,1612,24183070.00,37213,49.24,13.40,-9.83
4-May-2026,328.72,328.72,326.00,326.35,326.960880829015544041,7720,450,2524138.00,5286,68.47,2.72,-2.37
30-April-2026,328.00,328.00,324.62,325.47,325.845785793154214206,29887,3409,9738553.00,28588,95.65,3.38,-2.53
29-April-2026,327.98,327.98,322.40,323.74,324.639951883317043831,13301,1315,4318036.00,11049,83.07,5.58,-4.24
28-April-2026,320.98,326.56,320.98,325.81,324.873621262458471760,15050,1047,4889348.00,13601,90.37,5.58,4.83
27-April-2026,321.46,322.97,320.05,320.94,321.135728868926092282,24490,1616,7864614.00,14130,57.70,2.92,-0.52
24-April-2026,325.50,325.50,321.10,321.69,324.016073359799989333,4256173,1325,1379068463.00,4244005,99.71,4.40,-3.81
23-April-2026,332.50,332.50,322.00,324.15,323.982340444376619747,4075867,1014,1320508930.00,4041989,99.17,10.50,-8.35
22-April-2026,330.97,330.97,324.51,328.43,326.667834208990075890,25695,1226,8393730.00,22753,88.55,6.46,-2.54
21-April-2026,328.20,330.31,327.03,328.73,328.492778740612362796,8655,558,2843105.00,7182,82.98,3.28,0.53
20-April-2026,331.00,331.18,326.74,328.41,328.965298815753236023,7262,443,2388946.00,5105,70.30,4.44,-2.59
17-April-2026,331.00,331.00,328.11,329.99,329.574342299733963937,6766,472,2229900.00,5884,86.96,2.89,-1.01
16-April-2026,327.65,330.00,327.65,329.65,328.657522316568691487,4593,313,1509524.00,3845,83.71,2.35,2.00
15-April-2026,337.00,342.50,325.65,327.73,330.635833236737374908,25881,793,8557186.00,19778,76.42,16.85,-9.27
