Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BIRET,RR,16-Feb-2021,275.00,281.70,281.70,258.00,269.20,268.93,269.56,"82,81,600","2,23,23,52,986.00","14,264","70,06,200",84.60
BIRET,RR,17-Feb-2021,268.93,271.95,271.95,268.00,268.05,268.06,269.19,"26,30,800","70,81,98,020.00","2,377","25,31,600",96.23
BIRET,RR,18-Feb-2021,268.06,271.90,271.90,267.50,267.50,267.52,268.56,"9,09,400","24,42,30,374.00","1,529","8,68,400",95.49
BIRET,RR,19-Feb-2021,267.52,267.50,268.95,252.25,261.00,259.01,263.56,"14,39,000","37,92,67,342.00","2,432","13,06,600",90.80
BIRET,RR,22-Feb-2021,259.01,257.80,264.70,239.25,246.90,247.29,246.04,"20,85,200","51,30,38,742.00","3,552","18,26,200",87.58
BIRET,RR,23-Feb-2021,247.29,248.80,251.59,241.00,247.15,247.90,249.13,"14,35,400","35,76,01,472.00","1,125","13,51,400",94.15
BIRET,RR,24-Feb-2021,247.90,250.50,252.95,248.25,250.50,250.91,250.40,"2,08,400","5,21,83,492.00",487,"1,62,200",77.83
BIRET,RR,25-Feb-2021,250.91,250.05,253.00,249.00,251.45,249.79,251.33,"6,58,800","16,55,75,470.00","1,478","5,79,800",88.01
BIRET,RR,26-Feb-2021,249.79,247.20,249.99,243.21,249.99,246.09,245.90,"8,57,200","21,07,82,438.00","2,248","6,42,800",74.99
BIRET,RR,01-Mar-2021,246.09,249.20,250.00,245.70,246.30,246.81,247.03,"1,77,800","4,39,22,800.00",461,"1,45,800",82.00
BIRET,RR,02-Mar-2021,246.81,247.59,250.20,247.21,249.66,249.48,249.54,"3,46,600","8,64,91,758.00",794,"2,82,400",81.48
BIRET,RR,03-Mar-2021,249.48,249.31,251.99,249.16,249.17,249.70,250.70,"1,37,200","3,43,96,122.00",316,"1,19,200",86.88
BIRET,RR,04-Mar-2021,249.70,249.70,250.74,247.76,249.00,249.14,249.13,"1,60,400","3,99,60,136.00",486,"1,42,600",88.90
BIRET,RR,05-Mar-2021,249.14,248.01,249.50,245.55,246.80,246.59,247.35,"1,50,800","3,73,01,128.00",348,"1,13,800",75.46
