Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-July-2026,441.55,448.00,440.19,447.23,443.857159933062395409,8366,571,3713309.00,5082,60.75,7.81,5.68
15-July-2026,439.40,444.50,439.40,444.06,442.011235955056179775,8544,1086,3776544.00,6237,73.00,5.10,4.66
14-July-2026,445.00,447.70,441.00,443.11,443.996205357142857142,8960,884,3978206.00,6090,67.97,6.70,-1.89
13-July-2026,448.30,449.97,441.43,443.52,445.765623253214086081,17890,1255,7974747.00,13360,74.68,8.54,-4.78
10-July-2026,448.30,451.95,446.75,450.10,449.445101792239429267,17241,501,7748883.00,12501,72.51,5.20,1.80
9-July-2026,450.90,452.10,442.00,443.44,447.962930011862396204,13488,671,6042124.00,9622,71.34,10.10,-7.46
8-July-2026,449.99,452.00,448.27,448.97,449.713050193050193050,19425,567,8735676.00,16544,85.17,3.73,-1.02
7-July-2026,450.00,450.00,445.96,448.41,448.114615987460815047,15312,703,6861531.00,11536,75.34,4.04,-1.59
6-July-2026,448.00,449.19,446.90,448.64,448.401531061581193686,14761,776,6618855.00,11129,75.39,2.29,0.64
3-July-2026,449.94,449.94,446.00,447.08,447.143792527923995378,7789,447,3482803.00,5329,68.42,3.94,-2.86
2-July-2026,447.80,449.00,440.00,447.28,443.179327557519077399,34858,736,15448345.00,30497,87.49,9.00,-0.52
1-July-2026,437.10,444.94,437.10,443.87,443.034302108020456529,16034,565,7103612.00,11201,69.86,7.84,6.77
30-June-2026,433.10,444.90,433.00,438.21,441.522756372948434408,17182,831,7586244.00,11170,65.01,11.90,5.11
29-June-2026,428.35,437.10,428.35,433.54,434.131639580965254523,32551,853,14131419.00,26161,80.37,8.75,5.19
25-June-2026,429.00,432.22,426.63,428.70,428.947266544598482866,19115,434,8199327.00,15713,82.20,5.59,-0.30
24-June-2026,431.00,431.00,426.12,428.38,428.693075483468496568,8015,331,3435975.00,6458,80.57,4.88,-2.62
23-June-2026,426.35,429.95,425.11,429.05,427.507939978254122249,512281,581,219004195.00,509307,99.42,4.84,2.70
