Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EMBASSY,RR,01-Apr-2019,300.00,308.00,324.80,308.00,314.00,314.67,314.81,"29,03,200","91,39,43,140.00","2,500","25,77,600",88.78
EMBASSY,RR,02-Apr-2019,314.67,318.00,325.30,312.00,313.15,313.09,313.73,"26,68,800","83,72,82,460.00","1,234","25,74,000",96.45
EMBASSY,RR,03-Apr-2019,313.09,318.30,324.90,316.00,322.90,322.08,321.61,"2,44,000","7,84,72,404.00",422,"2,01,600",82.62
EMBASSY,RR,04-Apr-2019,322.08,324.80,331.50,322.08,331.00,328.00,327.64,"7,93,200","25,98,81,356.00",702,"7,51,600",94.76
EMBASSY,RR,05-Apr-2019,328.00,331.85,331.85,328.00,328.00,328.61,329.35,"1,47,600","4,86,11,532.00",218,"1,28,400",86.99
EMBASSY,RR,08-Apr-2019,328.61,328.00,331.00,319.10,323.00,321.32,326.90,"1,05,600","3,45,20,240.00",180,"87,600",82.95
EMBASSY,RR,09-Apr-2019,321.32,322.01,328.00,321.50,328.00,326.45,325.37,"56,800","1,84,81,244.00",132,"48,800",85.92
EMBASSY,RR,10-Apr-2019,326.45,327.01,328.00,326.50,328.00,327.98,327.94,"1,32,400","4,34,19,728.00",213,"1,21,200",91.54
EMBASSY,RR,11-Apr-2019,327.98,327.97,329.00,325.06,329.00,328.77,328.04,"2,68,400","8,80,45,228.00",238,"2,48,000",92.40
EMBASSY,RR,12-Apr-2019,328.77,330.00,340.70,326.25,337.00,336.88,334.60,"2,39,200","8,00,37,420.00",450,"1,80,400",75.42
EMBASSY,RR,15-Apr-2019,336.88,339.00,339.25,336.00,339.00,339.05,338.55,"90,800","3,07,40,052.00",193,"78,400",86.34
EMBASSY,RR,16-Apr-2019,339.05,346.97,349.20,336.01,338.00,338.83,343.20,"1,46,000","5,01,07,648.00",289,"1,06,800",73.15
EMBASSY,RR,18-Apr-2019,338.83,342.55,344.00,336.00,339.90,338.77,340.42,"1,25,200","4,26,21,016.00",215,"1,00,400",80.19
EMBASSY,RR,22-Apr-2019,338.77,330.72,337.80,327.56,333.70,333.09,331.74,"43,600","1,44,63,952.00",98,"27,200",62.39
EMBASSY,RR,23-Apr-2019,333.09,332.99,333.00,330.00,330.00,330.21,331.26,"21,600","71,55,304.00",51,"15,600",72.22
EMBASSY,RR,24-Apr-2019,330.21,331.00,331.00,327.00,330.00,329.81,329.12,"28,400","93,47,100.00",71,"18,000",63.38
EMBASSY,RR,25-Apr-2019,329.81,329.01,332.99,327.95,332.00,330.95,329.45,"43,200","1,42,32,272.00",68,"39,200",90.74
EMBASSY,RR,26-Apr-2019,330.95,331.00,332.46,327.00,327.00,327.29,329.15,"51,200","1,68,52,288.00",73,"44,800",87.50
EMBASSY,RR,30-Apr-2019,327.29,325.11,330.00,316.00,320.55,320.42,324.94,"7,51,600","24,42,25,956.00",574,"7,16,000",95.26
EMBASSY,RR,02-May-2019,320.42,321.00,324.79,320.50,321.49,321.49,321.70,"12,82,800","41,26,81,756.00","1,044","12,68,400",98.88
EMBASSY,RR,03-May-2019,321.49,329.90,329.90,321.57,323.00,323.05,322.48,"10,58,000","34,11,82,364.00",494,"10,26,400",97.01
EMBASSY,RR,06-May-2019,323.05,321.10,325.86,321.01,325.00,325.04,323.59,"8,81,200","28,51,49,520.00",764,"8,49,600",96.41
EMBASSY,RR,07-May-2019,325.04,327.97,332.70,325.10,331.03,329.48,327.54,"5,82,800","19,08,88,360.00",562,"5,35,600",91.90
EMBASSY,RR,08-May-2019,329.48,331.90,344.45,327.13,337.25,338.74,337.75,"9,52,000","32,15,39,696.00",447,"9,15,200",96.13
EMBASSY,RR,09-May-2019,338.74,335.36,335.45,333.00,334.25,334.73,334.52,"3,45,200","11,54,77,996.00",126,"3,36,000",97.33
EMBASSY,RR,10-May-2019,334.73,332.55,339.00,332.00,333.00,336.10,335.88,"70,400","2,36,46,188.00",148,"55,200",78.41
EMBASSY,RR,13-May-2019,336.10,333.00,334.00,331.06,332.00,331.87,332.15,"1,25,600","4,17,18,520.00",288,"87,200",69.43
EMBASSY,RR,14-May-2019,331.87,325.00,343.50,325.00,338.48,339.53,339.28,"9,28,800","31,51,25,916.00",760,"8,60,400",92.64
EMBASSY,RR,15-May-2019,339.53,338.90,343.00,336.50,342.80,342.13,339.84,"7,09,200","24,10,12,156.00",608,"6,63,200",93.51
EMBASSY,RR,16-May-2019,342.13,339.05,341.98,339.05,341.00,341.00,340.78,"8,000","27,26,236.00",20,"7,200",90.00
EMBASSY,RR,17-May-2019,341.00,337.00,341.98,337.00,340.35,340.40,340.26,"3,25,600","11,07,88,084.00",39,"3,22,800",99.14
EMBASSY,RR,20-May-2019,340.40,341.10,344.00,340.40,341.00,341.04,341.02,"6,46,000","22,02,99,060.00",143,"6,40,400",99.13
EMBASSY,RR,21-May-2019,341.04,342.00,349.90,342.00,348.00,347.88,346.98,"1,28,800","4,46,90,580.00",197,"1,09,600",85.09
EMBASSY,RR,22-May-2019,347.88,348.00,349.98,345.00,347.00,346.81,346.64,"79,200","2,74,53,888.00",176,"71,600",90.40
EMBASSY,RR,23-May-2019,346.81,349.89,352.00,346.00,350.00,349.50,348.87,"17,44,800","60,87,06,120.00",446,"16,92,400",97.00
EMBASSY,RR,24-May-2019,349.50,348.00,349.90,345.00,348.00,347.99,348.12,"7,36,400","25,63,57,084.00",50,"7,29,200",99.02
EMBASSY,RR,27-May-2019,347.99,348.00,348.00,344.68,346.50,346.92,346.80,"72,800","2,52,46,740.00",40,"68,000",93.41
EMBASSY,RR,28-May-2019,346.92,348.50,348.50,346.10,347.25,347.04,347.06,"68,400","2,37,38,624.00",100,"64,800",94.74
EMBASSY,RR,29-May-2019,347.04,348.70,349.34,346.00,348.01,348.60,347.88,"35,200","1,22,45,204.00",31,"32,000",90.91
EMBASSY,RR,30-May-2019,348.60,349.99,353.00,347.95,353.00,352.40,350.46,"1,58,400","5,55,12,788.00",119,"1,47,200",92.93
EMBASSY,RR,31-May-2019,352.40,352.34,356.00,351.27,354.00,354.05,353.59,"6,20,800","21,95,05,872.00",193,"4,65,200",74.94
EMBASSY,RR,03-Jun-2019,354.05,362.90,362.90,352.12,353.01,353.25,353.42,"82,800","2,92,63,524.00",49,"74,400",89.86
EMBASSY,RR,04-Jun-2019,353.25,355.85,358.00,355.20,357.99,357.13,356.55,"26,000","92,70,252.00",56,"18,800",72.31
EMBASSY,RR,06-Jun-2019,357.13,358.00,359.00,351.15,354.00,354.32,356.97,"40,000","1,42,78,720.00",76,"34,000",85.00
