Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-July-2026,115.12,116.59,115.12,115.83,115.948200654307524536,1834,159,212649.00,1413,77.04,1.47,0.71
15-July-2026,115.31,116.94,115.31,116.20,115.979689366786140979,12555,195,1456125.00,8601,68.51,1.63,0.89
14-July-2026,116.45,116.45,115.20,115.54,115.639072510932573985,9833,434,1137079.00,8791,89.40,1.25,-0.91
13-July-2026,115.79,116.00,115.37,115.96,115.780141843971631205,2820,216,326500.00,2240,79.43,0.63,0.17
10-July-2026,115.09,115.95,115.09,115.61,115.694956734551175596,11441,299,1323666.00,9422,82.35,0.86,0.52
9-July-2026,117.80,117.80,114.85,115.11,115.152731326644370122,13455,572,1549380.00,12019,89.33,2.95,-2.69
8-July-2026,115.74,116.02,115.20,115.34,115.522253981216823193,2449,284,282914.00,1762,71.95,0.82,-0.40
7-July-2026,116.50,116.50,115.07,115.85,115.607989167230873392,1477,258,170753.00,999,67.64,1.43,-0.65
6-July-2026,115.00,115.91,115.00,115.53,115.452248720461722748,9183,385,1060198.00,6441,70.14,0.91,0.53
3-July-2026,116.85,116.85,114.85,114.97,115.693340002730709895,1567358,263,181332882.00,1553324,99.10,2.00,-1.88
2-July-2026,115.99,115.99,115.04,115.37,115.452545155993431855,3045,492,351553.00,2269,74.52,0.95,-0.62
1-July-2026,116.00,116.04,114.64,114.97,115.279995564426702151,9018,698,1039595.00,7089,78.61,1.40,-1.03
30-June-2026,115.55,116.49,115.31,115.53,115.993316521252695496,443332,862,51423549.00,440066,99.26,1.18,-0.02
29-June-2026,115.20,116.34,114.74,116.02,115.734082990180551156,18942,404,2192235.00,15478,81.71,1.60,0.82
25-June-2026,115.60,116.56,115.15,115.20,115.506804987151422860,10507,396,1213630.00,7706,73.34,1.41,-0.40
24-June-2026,116.57,116.88,116.01,116.18,116.392189447444952222,4814,155,560312.00,3284,68.22,0.87,-0.39
23-June-2026,117.00,117.10,115.90,116.01,116.471714384270438082,5798,490,675303.00,4234,73.03,1.20,-0.99
22-June-2026,117.06,117.58,116.51,116.60,117.037400494098270656,14572,312,1705469.00,13296,91.24,1.07,-0.46
19-June-2026,116.80,118.11,115.63,116.79,116.761290920893999814,161745,878,18885555.00,153619,94.98,2.48,-0.01
18-June-2026,116.78,117.00,116.12,116.89,116.708195637805684071,3026,267,353159.00,1796,59.35,0.88,0.11
17-June-2026,116.21,117.00,116.08,116.39,116.805638474295190713,12060,232,1408676.00,11082,91.89,0.92,0.18
16-June-2026,117.51,117.51,116.01,116.21,116.501235668273710651,24683,635,2875600.00,21028,85.19,1.50,-1.30
15-June-2026,116.96,118.16,116.64,117.82,117.487759446514103246,7516,281,883038.00,5735,76.30,1.52,0.86
12-June-2026,117.99,118.50,115.57,116.64,118.038678912045213705,28310,751,3341675.00,25223,89.10,2.93,-1.35
11-June-2026,117.99,118.20,117.05,117.46,117.681871620032917940,4253,351,500501.00,3027,71.17,1.15,-0.53
10-June-2026,116.98,118.05,116.74,117.35,117.523928126667852695,5621,416,660602.00,3395,60.40,1.31,0.37
9-June-2026,114.12,117.14,114.12,116.86,116.833046243540479660,7547,467,881739.00,5737,76.02,3.02,2.74
8-June-2026,116.92,117.32,115.84,116.57,116.953065493751005739,18643,637,2180356.00,15521,83.25,1.48,-0.35
5-June-2026,116.45,117.33,116.45,117.01,116.748767439420958774,9533,121,1112966.00,6946,72.86,0.88,0.56
4-June-2026,115.70,116.66,115.70,116.56,116.440124025810776837,11933,259,1389480.00,10911,91.44,0.96,0.86
3-June-2026,116.25,116.58,115.50,116.34,116.127424568965517241,14848,517,1724260.00,10685,71.96,1.08,0.09
2-June-2026,116.40,116.70,115.10,116.58,115.911562829989440337,7576,241,878146.00,4887,64.51,1.60,0.18
1-June-2026,116.08,116.85,115.55,116.41,116.282649917041953069,8438,172,981193.00,6852,81.20,1.30,0.33
29-May-2026,116.26,117.48,114.81,116.08,115.901429700409512177,27838,493,3226464.00,23086,82.93,2.67,-0.18
27-May-2026,117.08,117.42,116.21,116.98,116.727652658462967262,4307,283,502746.00,3493,81.10,1.21,-0.10
26-May-2026,116.14,118.10,116.08,117.27,117.351623804341600320,17459,1165,2048842.00,14030,80.36,2.02,1.13
25-May-2026,116.51,117.60,116.00,116.13,116.525814668423364075,56925,468,6633232.00,48173,84.63,1.60,-0.38
22-May-2026,116.10,117.57,116.10,116.84,117.208918249380677126,7266,236,851640.00,5925,81.54,1.47,0.74
21-May-2026,117.28,117.57,116.21,116.75,116.854497762690942755,6481,191,757334.00,3063,47.26,1.36,-0.53
20-May-2026,116.85,117.60,116.03,117.28,116.806651774633904194,4029,130,470614.00,3239,80.39,1.57,0.43
