Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KRT,RR,18-Aug-2025,100.00,103.00,108.94,103.00,106.24,106.24,104.66,"3,63,04,024","3,79,94,52,286.63","99,210","3,11,50,303",85.80
KRT,RR,19-Aug-2025,106.24,107.45,108.00,107.30,107.35,107.42,107.71,"23,92,632","25,77,17,039.45","7,179","21,18,368",88.54
KRT,RR,20-Aug-2025,107.42,108.29,108.38,107.00,107.25,107.25,107.30,"14,60,406","15,67,03,830.53","7,241","12,90,288",88.35
KRT,RR,21-Aug-2025,107.25,107.89,107.89,107.00,107.10,107.06,107.24,"12,33,854","13,23,22,869.45","2,778","11,28,487",91.46
KRT,RR,22-Aug-2025,107.06,107.40,107.40,107.00,107.05,107.06,107.17,"7,09,231","7,60,09,491.41","1,687","6,69,548",94.40
KRT,RR,25-Aug-2025,107.06,107.49,107.49,107.07,107.12,107.30,107.29,"4,68,885","5,03,06,467.19","1,936","4,39,368",93.70
KRT,RR,26-Aug-2025,107.30,107.30,107.45,106.51,107.10,107.09,107.06,"13,66,254","14,62,67,693.16","3,086","13,19,372",96.57
KRT,RR,28-Aug-2025,107.09,107.35,107.50,107.08,107.11,107.22,107.25,"8,87,534","9,51,83,813.69","1,856","8,72,271",98.28
KRT,RR,29-Aug-2025,107.22,107.20,107.34,107.01,107.09,107.14,107.15,"8,74,217","9,36,70,521.18","1,493","8,70,019",99.52
KRT,RR,01-Sep-2025,107.14,107.39,107.39,107.01,107.16,107.16,107.15,"5,02,243","5,38,14,103.59","1,761","4,88,951",97.35
KRT,RR,02-Sep-2025,107.16,107.29,109.40,107.16,107.17,107.56,107.88,"8,02,267","8,65,46,317.53","2,367","7,07,291",88.16
KRT,RR,03-Sep-2025,107.56,107.56,108.18,107.27,107.80,107.93,107.85,"4,88,157","5,26,48,643.20","1,195","4,34,157",88.94
KRT,RR,04-Sep-2025,107.93,108.15,108.83,107.51,107.60,107.61,108.15,"5,69,480","6,15,91,196.33","2,272","5,21,965",91.66
KRT,RR,05-Sep-2025,107.61,108.30,108.30,107.64,108.00,107.88,107.95,"3,85,123","4,15,75,117.14","2,727","3,47,282",90.17
KRT,RR,08-Sep-2025,107.88,108.89,108.89,107.55,108.00,107.98,108.04,"3,77,862","4,08,22,626.81","2,057","3,66,353",96.95
KRT,RR,09-Sep-2025,107.98,107.75,108.25,107.65,108.09,107.95,108.08,"6,01,275","6,49,88,394.49","2,300","5,77,446",96.04
KRT,RR,10-Sep-2025,107.95,108.24,108.90,107.52,107.96,107.61,108.28,"12,40,032","13,42,68,006.98","2,996","11,33,980",91.45
KRT,RR,11-Sep-2025,107.61,108.10,108.69,107.10,107.30,107.32,108.01,"42,33,682","45,72,80,599.50","5,573","40,28,403",95.15
KRT,RR,12-Sep-2025,107.32,107.15,108.01,107.15,107.66,107.89,107.88,"9,31,516","10,04,92,062.19","60,349","8,35,360",89.68
KRT,RR,15-Sep-2025,107.89,108.25,109.70,108.03,109.23,109.10,109.04,"18,97,184","20,68,75,153.80","4,681","18,47,355",97.37
KRT,RR,16-Sep-2025,109.10,109.67,112.58,109.20,111.28,111.08,111.07,"25,63,393","28,47,09,726.27","39,781","23,36,170",91.14
KRT,RR,17-Sep-2025,111.08,111.88,112.50,110.11,111.25,111.24,111.66,"10,02,072","11,18,96,230.29","5,825","7,91,617",79.00
KRT,RR,18-Sep-2025,111.24,111.45,112.98,111.45,112.00,112.21,112.38,"11,69,579","13,14,42,028.77","5,319","10,96,055",93.71
KRT,RR,19-Sep-2025,112.21,112.50,113.20,111.81,112.00,112.48,112.78,"13,22,719","14,91,73,003.63","4,604","12,72,316",96.19
KRT,RR,22-Sep-2025,112.48,113.50,113.50,111.50,112.92,113.02,112.91,"12,85,851","14,51,83,222.72","5,411","12,27,760",95.48
KRT,RR,23-Sep-2025,113.02,113.50,113.50,112.70,112.89,113.00,113.05,"3,46,784","3,92,03,363.24","2,031","3,26,456",94.14
KRT,RR,24-Sep-2025,113.00,113.50,114.25,112.92,113.79,113.67,113.68,"6,55,962","7,45,70,634.77","3,364","5,84,920",89.17
KRT,RR,25-Sep-2025,113.67,114.00,114.89,113.50,114.15,114.05,114.06,"6,86,623","7,83,18,891.03","6,464","6,38,461",92.99
KRT,RR,26-Sep-2025,114.05,114.05,115.49,113.06,113.75,113.81,113.98,"16,40,058","18,69,35,978.45","10,810","15,43,739",94.13
KRT,RR,29-Sep-2025,113.81,113.81,115.40,113.55,113.81,114.02,114.65,"5,37,797","6,16,56,207.43","2,909","4,66,833",86.80
KRT,RR,30-Sep-2025,114.02,114.89,116.65,114.41,116.00,115.38,115.26,"9,96,958","11,49,10,360.62","4,787","9,15,133",91.79
KRT,RR,01-Oct-2025,115.38,116.80,119.51,116.10,119.00,118.68,118.11,"6,63,767","7,83,97,651.99","4,356","5,77,821",87.05
KRT,RR,03-Oct-2025,118.68,119.95,120.00,118.25,118.55,118.81,119.01,"5,79,692","6,89,89,231.39","3,490","5,13,299",88.55
KRT,RR,06-Oct-2025,118.81,119.60,119.60,115.02,115.70,115.64,118.05,"24,29,615","28,68,13,097.74","5,567","23,02,984",94.79
KRT,RR,07-Oct-2025,115.64,116.00,118.90,115.77,116.98,116.94,117.16,"26,66,671","31,24,31,383.68","4,554","26,03,206",97.62
KRT,RR,08-Oct-2025,116.94,118.00,118.90,117.60,118.20,118.02,118.12,"4,88,946","5,77,53,019.30","3,426","4,37,886",89.56
KRT,RR,09-Oct-2025,118.02,118.79,118.90,117.84,118.00,118.00,118.61,"5,94,840","7,05,54,821.45","4,081","4,82,875",81.18
KRT,RR,10-Oct-2025,118.00,118.50,118.50,116.60,117.00,117.10,117.32,"3,08,628","3,62,08,698.68","2,920","2,76,554",89.61
KRT,RR,13-Oct-2025,117.10,117.60,117.80,116.08,116.69,116.45,116.85,"2,51,306","2,93,66,316.90","1,556","2,32,295",92.44
KRT,RR,14-Oct-2025,116.45,116.90,117.50,115.50,115.99,115.86,116.90,"3,67,305","4,29,38,786.02","2,871","3,33,807",90.88
KRT,RR,15-Oct-2025,115.86,116.90,117.50,115.50,116.75,116.47,116.74,"2,15,536","2,51,61,736.62","2,054","1,88,879",87.63
KRT,RR,16-Oct-2025,116.47,117.40,117.40,116.06,117.25,116.98,116.81,"6,66,068","7,78,06,054.36","1,901","5,92,204",88.91
KRT,RR,17-Oct-2025,116.98,117.49,117.49,116.01,116.75,116.35,116.55,"1,60,930","1,87,57,116.42","1,410","1,33,965",83.24
KRT,RR,20-Oct-2025,116.35,116.50,117.25,116.15,117.25,117.01,116.80,"91,137","1,06,44,703.51","1,254","82,120",90.11
KRT,RR,21-Oct-2025,117.01,117.59,118.29,117.11,118.00,117.97,117.77,"53,847","63,41,376.43",887,"41,821",78.06
KRT,RR,23-Oct-2025,117.97,119.39,119.39,115.10,115.64,115.69,116.19,"6,91,299","8,03,20,895.14","20,967","5,91,468",85.56
KRT,RR,24-Oct-2025,115.69,115.95,115.95,113.52,113.94,113.90,114.32,"5,02,667","5,74,63,605.38","16,431","4,51,297",89.78
KRT,RR,27-Oct-2025,113.90,114.60,116.16,113.90,115.26,115.33,114.97,"3,21,216","3,69,31,533.25","4,168","2,60,432",81.08
KRT,RR,28-Oct-2025,115.33,115.26,115.90,114.31,114.78,114.71,114.85,"2,43,529","2,79,69,841.55","3,133","1,99,518",81.93
KRT,RR,29-Oct-2025,114.71,114.71,115.39,114.06,114.95,114.90,114.89,"1,44,899","1,66,47,164.99","1,353","1,29,832",89.60
KRT,RR,30-Oct-2025,114.90,114.80,116.50,114.22,115.75,115.85,115.48,"1,90,621","2,20,13,558.93","2,274","1,57,810",82.79
KRT,RR,31-Oct-2025,115.85,115.97,117.00,114.53,115.50,115.52,115.53,"4,33,920","5,01,28,958.58","5,211","3,55,787",81.99
KRT,RR,03-Nov-2025,115.52,116.40,116.50,114.61,115.01,115.20,115.73,"7,56,843","8,75,90,382.28","4,678","6,95,142",91.85
KRT,RR,04-Nov-2025,115.20,115.20,119.00,114.50,118.15,117.60,116.61,"8,62,362","10,05,57,465.85","6,913","7,48,562",86.80
KRT,RR,06-Nov-2025,117.60,117.00,117.65,115.51,116.75,116.70,116.71,"3,22,649","3,76,57,096.59","4,556","2,54,980",79.03
KRT,RR,07-Nov-2025,116.70,116.89,119.40,116.10,118.15,118.60,117.60,"6,02,470","7,08,52,438.36","3,519","4,96,463",82.40
KRT,RR,10-Nov-2025,118.60,119.25,120.00,117.75,119.95,119.89,119.54,"8,33,902","9,96,84,698.79","5,414","7,44,718",89.31
KRT,RR,11-Nov-2025,119.89,120.00,120.00,118.00,119.05,119.26,119.16,"5,86,104","6,98,40,069.99","5,612","5,34,952",91.27
KRT,RR,12-Nov-2025,119.26,119.47,120.45,118.00,120.07,120.01,119.93,"7,16,633","8,59,45,286.46","9,591","6,66,705",93.03
KRT,RR,13-Nov-2025,120.01,119.13,119.48,117.45,118.56,118.91,118.30,"16,06,548","19,00,57,061.43","5,035","15,69,330",97.68
KRT,RR,14-Nov-2025,118.91,118.55,122.03,117.55,118.00,117.96,118.37,"5,03,522","5,95,99,841.72","13,718","4,48,888",89.15
KRT,RR,17-Nov-2025,117.96,118.25,119.20,115.75,118.25,118.64,116.44,"12,47,566","14,52,68,422.81","5,298","11,64,543",93.35
KRT,RR,18-Nov-2025,118.64,119.00,120.10,118.33,118.90,119.07,119.42,"8,40,747","10,04,01,119.43","11,442","7,97,068",94.80
KRT,RR,19-Nov-2025,119.07,119.50,119.50,118.02,118.53,118.91,119.01,"5,20,033","6,18,87,815.33","4,016","4,94,750",95.14
KRT,RR,20-Nov-2025,118.91,119.48,119.98,117.90,118.90,118.57,119.11,"4,59,594","5,47,42,617.19","5,025","4,37,343",95.16
KRT,RR,21-Nov-2025,118.57,119.39,119.48,118.00,118.70,118.96,118.98,"7,86,082","9,35,27,979.24","3,767","7,48,452",95.21
KRT,RR,24-Nov-2025,118.96,119.70,119.70,116.90,117.40,117.28,118.20,"8,22,268","9,71,92,005.38","5,973","8,07,715",98.23
KRT,RR,25-Nov-2025,117.28,118.35,118.35,115.98,117.70,117.62,117.03,"3,76,424","4,40,52,173.55","7,090","3,36,412",89.37
KRT,RR,26-Nov-2025,117.62,117.65,118.48,116.85,116.90,117.00,117.39,"9,06,669","10,64,33,972.24","8,233","8,77,620",96.80
KRT,RR,27-Nov-2025,117.00,117.00,118.85,116.71,117.00,117.02,117.18,"5,36,848","6,29,05,734.63","12,456","4,98,349",92.83
KRT,RR,28-Nov-2025,117.02,117.49,119.75,116.80,119.73,119.09,117.89,"9,58,716","11,30,20,188.69","12,182","8,51,924",88.86
KRT,RR,01-Dec-2025,119.09,120.49,120.49,116.35,119.00,118.97,118.64,"3,26,674","3,87,57,802.70","12,353","2,12,596",65.08
KRT,RR,02-Dec-2025,118.97,118.98,120.50,118.71,119.35,119.47,119.68,"3,73,202","4,46,65,498.84","8,500","3,10,548",83.21
KRT,RR,03-Dec-2025,119.47,119.95,120.69,119.35,119.72,119.82,119.78,"4,81,366","5,76,59,143.84","12,101","4,29,849",89.30
KRT,RR,04-Dec-2025,119.82,120.80,121.98,120.15,121.98,121.59,121.53,"8,65,084","10,51,34,215.67","12,893","7,88,075",91.10
KRT,RR,05-Dec-2025,121.59,123.30,125.50,121.55,123.95,123.36,123.11,"17,66,894","21,75,25,880.22","14,693","16,48,857",93.32
KRT,RR,08-Dec-2025,123.36,125.45,125.45,122.51,123.28,123.03,123.30,"21,98,023","27,10,09,518.21","18,249","21,15,718",96.26
KRT,RR,09-Dec-2025,123.03,123.01,129.07,123.01,126.96,127.20,125.75,"34,36,088","43,21,00,584.39","29,843","31,83,514",92.65
KRT,RR,10-Dec-2025,127.20,128.40,128.40,124.87,125.75,125.68,125.83,"16,09,735","20,25,56,724.69","17,522","13,40,666",83.28
KRT,RR,11-Dec-2025,125.68,127.49,128.00,126.31,127.99,127.99,127.35,"17,25,830","21,97,80,909.57","23,230","16,21,026",93.93
KRT,RR,12-Dec-2025,127.99,128.62,129.00,125.16,126.28,126.35,126.80,"13,74,009","17,42,23,210.16","15,619","11,88,946",86.53
KRT,RR,15-Dec-2025,126.35,127.00,128.65,125.50,125.99,125.98,126.91,"14,38,947","18,26,18,546.98","14,651","11,39,663",79.20
KRT,RR,16-Dec-2025,125.98,125.99,128.50,125.71,127.00,127.21,127.93,"16,04,456","20,52,62,771.44","29,936","12,89,506",80.37
KRT,RR,17-Dec-2025,127.21,127.48,127.98,127.21,127.50,127.56,127.61,"11,03,208","14,07,79,313.13","17,288","10,48,769",95.07
KRT,RR,18-Dec-2025,127.56,127.98,128.00,124.55,124.90,124.97,125.66,"4,91,386","6,17,47,644.05","14,299","3,92,683",79.91
KRT,RR,19-Dec-2025,124.97,124.97,126.00,119.60,120.40,121.35,121.52,"1,19,16,013","1,44,80,18,261.65","22,240","70,91,786",59.51
KRT,RR,22-Dec-2025,121.35,120.25,124.48,120.10,122.66,123.79,122.70,"24,34,578","29,87,17,692.36","39,033","19,18,442",78.80
KRT,RR,23-Dec-2025,123.79,123.60,127.00,123.50,124.81,124.64,125.24,"11,09,592","13,89,69,989.51","36,519","9,82,324",88.53
KRT,RR,24-Dec-2025,124.64,124.65,125.00,124.02,124.48,124.41,124.45,"4,50,029","5,60,07,261.55","27,676","3,48,987",77.55
KRT,RR,26-Dec-2025,124.41,124.90,125.00,123.00,124.60,124.86,124.21,"6,11,381","7,59,37,592.65","23,461","5,08,328",83.14
KRT,RR,29-Dec-2025,124.86,125.79,125.79,122.81,123.80,123.73,123.63,"8,86,013","10,95,38,329.71","26,627","7,16,831",80.91
