Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-July-2026,491.07,494.00,491.07,492.74,493.029579067121729237,4395,215,2166865.00,3782,86.05,2.93,1.67
15-July-2026,490.30,494.38,490.30,492.78,492.901117185642975992,4207,297,2073635.00,3344,79.49,4.08,2.48
14-July-2026,489.27,492.50,489.25,491.60,490.903385416666666666,3840,328,1885069.00,2452,63.85,3.25,2.33
13-July-2026,488.10,493.38,488.01,489.22,490.211092246745897000,5301,345,2598609.00,3690,69.61,5.37,1.12
10-July-2026,489.90,489.90,486.80,488.82,488.350234532052713870,4477,258,2186344.00,3213,71.77,3.10,-1.08
9-July-2026,485.01,490.00,483.56,487.24,487.951050420168067226,4760,391,2322647.00,3144,66.05,6.44,2.23
8-July-2026,491.00,493.09,483.00,485.55,489.282793256008609350,8363,471,4091872.00,4528,54.14,10.09,-5.45
7-July-2026,488.00,492.90,488.00,489.11,489.713157046114156723,6202,406,3037201.00,3988,64.30,4.90,1.11
6-July-2026,486.34,490.48,485.00,487.70,487.699234844025897586,10194,587,4971606.00,7847,76.98,5.48,1.36
3-July-2026,487.69,487.69,484.31,486.07,486.211333714939896966,8735,381,4247056.00,6811,77.97,3.38,-1.62
2-July-2026,482.50,485.39,479.93,483.68,483.018181818181818181,15675,1279,7571310.00,11881,75.80,5.46,1.18
1-July-2026,474.50,482.21,474.15,478.99,478.701317027281279397,8504,602,4070876.00,6785,79.79,8.06,4.49
30-June-2026,470.99,475.25,469.89,474.14,472.874331854884567269,8793,407,4157984.00,6098,69.35,5.36,3.15
29-June-2026,465.00,470.10,464.69,466.34,467.453581545932820720,12355,770,5775389.00,8883,71.90,5.41,1.34
25-June-2026,453.00,464.42,453.00,462.91,462.488263536943184849,7498,516,3467737.00,6482,86.45,11.42,9.91
24-June-2026,461.03,463.59,461.03,462.13,462.752488262910798122,5325,670,2464157.00,4301,80.77,2.56,1.10
23-June-2026,466.00,466.00,460.80,461.47,462.919082568807339449,5450,314,2522909.00,4526,83.05,5.20,-4.53
22-June-2026,463.96,464.99,462.30,464.05,463.967379742347240278,8461,1678,3925628.00,7246,85.64,2.69,0.09
19-June-2026,462.50,466.70,460.85,463.96,463.933230412967966036,12955,417,6010255.00,11383,87.87,5.85,1.46
18-June-2026,463.80,464.49,459.49,460.21,461.435069984447900466,7716,514,3560433.00,5925,76.79,5.00,-3.59
17-June-2026,463.11,466.10,462.00,463.36,463.964763061968408262,4938,552,2291058.00,3092,62.62,4.10,0.25
16-June-2026,462.60,465.00,460.30,464.31,462.954326030449313033,8079,414,3740208.00,7152,88.53,4.70,1.71
15-June-2026,460.44,465.50,460.44,463.22,462.421951219512195121,11480,754,5308604.00,7024,61.18,5.06,2.78
12-June-2026,463.00,463.00,459.26,460.44,460.672175839154881581,5869,495,2703685.00,5168,88.06,3.74,-2.56
11-June-2026,459.60,461.85,459.12,459.74,460.376348228043143297,2596,277,1195137.00,1656,63.79,2.73,0.14
10-June-2026,461.30,463.50,460.10,462.37,461.610962291366165258,4853,403,2240198.00,2844,58.60,3.40,1.07
9-June-2026,460.10,465.38,460.00,461.48,463.894021739130434782,7360,501,3414260.00,5432,73.80,5.38,1.38
8-June-2026,461.99,461.99,459.11,459.99,460.695425420950677991,6711,515,3091727.00,5419,80.75,2.88,-2.00
5-June-2026,461.50,461.51,458.86,459.69,459.862270586324508689,6157,402,2831372.00,4377,71.09,2.65,-1.81
4-June-2026,458.52,463.00,458.12,461.47,460.509706381946129580,8242,538,3795521.00,5502,66.76,4.88,2.95
3-June-2026,464.99,464.99,457.40,460.21,460.381378107283035324,4586,343,2111309.00,3601,78.52,7.59,-4.78
2-June-2026,463.00,466.79,463.00,464.78,464.960120043862180412,17327,499,8056364.00,15991,92.29,3.79,1.78
1-June-2026,464.29,465.45,461.50,462.66,464.142857142857142857,10346,703,4802022.00,7720,74.62,3.95,-1.63
29-May-2026,460.30,464.95,459.00,463.50,460.135520912244328376,100324,589,46162636.00,96137,95.83,5.95,3.20
27-May-2026,464.45,464.45,459.10,460.29,460.030998966701109963,90003,1366,41404170.00,88577,98.42,5.35,-4.16
26-May-2026,459.61,465.65,458.64,464.45,462.056900542632717337,52706,3304,24353171.00,49744,94.38,7.01,4.84
25-May-2026,469.50,469.50,461.50,461.94,463.116351624151220407,5449,478,2523521.00,3553,65.20,8.00,-7.56
22-May-2026,459.77,465.00,459.51,462.84,461.264461315979754157,5532,298,2551715.00,3336,60.30,5.49,3.07
21-May-2026,462.44,462.44,459.00,459.77,460.035517907564274037,6729,372,3095579.00,4759,70.72,3.44,-2.67
20-May-2026,470.00,470.00,461.58,462.44,464.853118712273641851,7455,522,3465480.00,5526,74.12,8.42,-7.56
19-May-2026,463.70,472.09,458.10,470.29,465.866893424036281179,4410,404,2054473.00,2555,57.94,13.99,6.59
18-May-2026,462.40,464.36,455.11,461.10,458.853950267548001259,6354,417,2915558.00,4097,64.48,9.25,-1.30
15-May-2026,463.01,465.77,456.35,460.33,459.795968471378731102,7739,620,3558361.00,5512,71.22,9.42,-2.68
14-May-2026,463.97,468.05,458.01,465.77,461.576428301172909572,5286,498,2439893.00,3227,61.05,10.04,1.80
13-May-2026,460.00,462.70,456.16,461.92,458.006629990125546621,7089,755,3246809.00,4735,66.79,6.54,1.92
12-May-2026,458.00,463.97,457.00,459.84,459.228931988793655280,120289,1508,55240189.00,117680,97.83,6.97,1.84
11-May-2026,465.90,465.90,460.00,462.73,463.724097980801059251,12084,1362,5603642.00,9888,81.83,5.90,-3.17
8-May-2026,462.20,466.86,459.00,464.99,463.737924587098784668,9627,682,4464405.00,6870,71.36,7.86,2.79
7-May-2026,460.30,463.80,460.00,462.30,462.968716378382851940,24166,1381,11188102.00,23615,97.72,3.80,2.00
6-May-2026,463.97,464.85,461.00,463.51,463.513355592654424040,3594,553,1665867.00,2777,77.27,3.85,-0.46
5-May-2026,467.00,467.50,462.00,462.26,464.737717029922423346,18949,1670,8806315.00,17136,90.43,5.50,-4.74
4-May-2026,474.00,475.00,469.00,471.49,472.238239403819282720,8588,1150,4055582.00,7218,84.05,6.00,-2.51
30-April-2026,469.30,473.46,466.00,466.61,469.583387835186396337,10703,636,5025951.00,8107,75.75,7.46,-2.69
29-April-2026,468.80,469.09,465.32,466.42,468.121671662846058896,5671,382,2654718.00,4636,81.75,3.77,-2.38
28-April-2026,469.05,472.00,465.34,466.27,468.618355184743742550,4195,398,1965854.00,2915,69.49,6.66,-2.78
27-April-2026,471.00,474.24,467.00,469.05,470.063800277392510402,6489,784,3050244.00,5201,80.15,7.24,-1.95
24-April-2026,470.06,473.91,468.02,470.40,471.157320872274143302,3210,598,1512415.00,1893,58.97,5.89,0.34
23-April-2026,468.15,475.50,468.15,470.06,471.220038944946008143,5649,665,2661922.00,4711,83.40,7.35,1.91
22-April-2026,482.40,482.40,469.18,470.14,470.116185097733745527,205405,745,96564215.00,203838,99.24,13.22,-12.26
21-April-2026,475.20,481.22,470.00,478.49,474.597331583552055993,4572,534,2169859.00,3675,80.38,11.22,3.29
20-April-2026,470.60,474.62,466.02,469.90,470.204969816088726660,7123,643,3349270.00,4125,57.91,8.60,-0.70
17-April-2026,472.10,474.61,470.00,471.64,471.505756252481143310,5038,681,2375446.00,3979,78.98,4.61,-0.46
16-April-2026,477.53,478.94,471.33,472.10,474.994602673752387278,12043,916,5720360.00,9812,81.47,7.61,-5.43
15-April-2026,480.59,484.78,476.45,477.53,481.809330628803245436,6902,417,3325448.00,5182,75.08,8.33,-3.06
13-April-2026,483.99,483.99,475.50,478.15,481.911295336787564766,4825,427,2325222.00,3933,81.51,8.49,-5.84
10-April-2026,481.99,483.00,478.16,481.67,480.978239366963402571,3033,377,1458807.00,1992,65.68,4.84,-0.32
9-April-2026,474.00,480.00,471.30,476.98,474.679920870425321463,5055,488,2399507.00,3217,63.64,8.70,2.98
8-April-2026,468.20,478.13,464.11,475.57,470.886649874055415617,7940,654,3738840.00,5452,68.66,14.02,7.37
7-April-2026,458.60,465.53,458.60,461.97,462.663185762612148845,6799,730,3145647.00,4537,66.73,6.93,3.37
6-April-2026,458.00,466.41,457.15,462.70,462.086918730986527596,4602,697,2126524.00,2774,60.28,9.26,4.70
2-April-2026,452.00,464.38,447.00,455.96,451.206694732518739090,9739,953,4394302.00,6032,61.94,17.38,3.96
1-April-2026,448.50,461.00,448.00,450.26,455.499911645166990634,11318,874,5155348.00,6871,60.71,13.00,1.76
30-March-2026,455.02,462.50,447.00,449.25,453.639005847953216374,17100,1685,7757227.00,12007,70.22,15.50,-5.77
