Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDSPACE,RR,07-Aug-2020,275.00,302.00,307.20,300.00,303.00,303.70,302.82,"2,70,14,200","8,18,03,10,186.00","22,043","2,38,24,600",88.19
MINDSPACE,RR,10-Aug-2020,303.70,305.00,308.00,300.00,302.00,300.07,301.87,"21,30,800","64,32,30,876.00","2,587","19,25,800",90.38
MINDSPACE,RR,11-Aug-2020,300.07,303.60,304.00,301.15,302.00,302.06,302.75,"8,76,200","26,52,73,764.00","1,647","7,61,600",86.92
MINDSPACE,RR,12-Aug-2020,302.06,302.90,303.00,300.25,300.30,300.46,301.82,"6,34,400","19,14,77,430.00",798,"6,05,600",95.46
MINDSPACE,RR,13-Aug-2020,300.46,301.28,303.00,300.00,302.00,301.04,300.50,"9,57,000","28,75,76,210.00","1,358","8,95,800",93.61
MINDSPACE,RR,14-Aug-2020,301.04,304.00,304.00,299.90,301.05,300.20,300.98,"8,79,000","26,45,59,654.00","1,070","8,29,400",94.36
MINDSPACE,RR,17-Aug-2020,300.20,299.20,301.00,299.20,300.05,300.04,300.11,"6,44,000","19,32,73,848.00",762,"6,08,200",94.44
MINDSPACE,RR,18-Aug-2020,300.04,301.50,302.00,300.00,301.25,301.67,300.63,"4,52,000","13,58,82,898.00","1,027","4,30,600",95.27
MINDSPACE,RR,19-Aug-2020,301.67,301.00,306.50,300.50,305.40,305.27,303.76,"2,62,200","7,96,45,488.00",518,"2,19,800",83.83
MINDSPACE,RR,20-Aug-2020,305.27,305.00,308.90,303.15,308.00,308.35,306.19,"1,02,400","3,13,53,574.00",305,"83,600",81.64
MINDSPACE,RR,21-Aug-2020,308.35,307.98,316.94,307.98,313.15,313.43,311.04,"2,31,800","7,20,99,124.00",482,"2,07,800",89.65
MINDSPACE,RR,24-Aug-2020,313.43,314.51,315.01,313.00,314.00,314.36,314.20,"1,28,000","4,02,17,480.00",262,"1,17,600",91.88
MINDSPACE,RR,25-Aug-2020,314.36,314.00,314.00,311.03,313.05,313.51,313.05,"1,49,400","4,67,69,470.00",360,"1,35,200",90.50
MINDSPACE,RR,26-Aug-2020,313.51,313.51,315.85,313.00,314.80,314.80,314.86,"12,56,600","39,56,47,282.00",527,"12,40,000",98.68
MINDSPACE,RR,27-Aug-2020,314.80,315.00,315.85,313.56,315.45,315.02,314.38,"1,11,200","3,49,59,302.00",271,"1,05,800",95.14
MINDSPACE,RR,28-Aug-2020,315.02,315.00,315.96,312.30,314.00,314.44,313.71,"1,42,400","4,46,71,818.00",438,"1,15,800",81.32
MINDSPACE,RR,31-Aug-2020,314.44,313.61,317.00,311.70,315.00,315.01,313.75,"1,49,400","4,68,74,452.00",443,"1,26,600",84.74
MINDSPACE,RR,01-Sep-2020,315.01,310.20,315.00,310.20,314.10,314.67,313.68,"39,800","1,24,84,472.00",154,"28,400",71.36
MINDSPACE,RR,02-Sep-2020,314.67,314.90,315.05,313.00,313.00,314.20,314.29,"87,000","2,73,43,374.00",312,"78,400",90.11
MINDSPACE,RR,03-Sep-2020,314.20,314.00,314.00,307.05,308.00,308.18,312.21,"33,07,400","1,03,26,00,352.00",853,"32,72,800",98.95
