Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-July-2026,165.00,166.08,164.85,164.99,165.006134354329283163,668367,286,110284655.00,666262,99.68,1.23,-0.01
15-July-2026,164.60,165.58,164.59,165.03,165.029391344596158296,17284,540,2852368.00,16269,94.13,0.99,0.43
14-July-2026,165.00,165.15,164.42,164.90,164.925925925925925925,11070,221,1825730.00,9038,81.64,0.73,-0.10
13-July-2026,164.75,165.40,164.00,164.16,164.537934791066843047,12851,1028,2114477.00,10649,82.87,1.40,-0.59
10-July-2026,164.00,165.90,164.00,164.63,165.062155630739487675,20690,582,3415136.00,17170,82.99,1.90,0.63
9-July-2026,163.39,165.30,162.71,164.72,163.824794854734974495,9018,303,1477372.00,6575,72.91,2.59,1.33
8-July-2026,164.90,165.20,162.27,162.37,164.302408990375993783,16729,492,2748615.00,13816,82.59,2.93,-2.53
7-July-2026,164.79,164.79,162.30,164.42,163.075092994420334779,12904,544,2104321.00,10405,80.63,2.49,-0.37
6-July-2026,162.65,164.96,162.65,164.30,164.397669574274183049,15362,592,2525477.00,12472,81.19,2.31,1.65
3-July-2026,165.70,166.02,162.56,163.01,164.751297547102737291,14065,677,2317227.00,12262,87.18,3.46,-2.69
2-July-2026,163.90,164.70,163.25,164.32,164.290955730887325585,25729,819,4227042.00,23363,90.80,1.45,0.42
1-July-2026,165.00,165.00,161.40,162.45,163.142956677273767184,96162,3688,15688153.00,94684,98.46,3.60,-2.55
30-June-2026,165.00,165.00,163.00,163.18,163.396101949025487256,10005,314,1634778.00,8395,83.91,2.00,-1.82
29-June-2026,162.00,163.40,161.44,163.35,162.973515870203099007,1252788,743,204171265.00,1251778,99.92,1.96,1.35
25-June-2026,157.60,161.57,157.60,161.36,160.071146047163670955,19973,664,3197101.00,13154,65.86,3.97,3.76
24-June-2026,157.50,160.25,156.54,159.97,157.525708651109236311,653107,506,102881143.00,646136,98.93,3.71,2.47
