Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NXST,RR,19-May-2023,100.00,103.00,104.75,103.00,104.30,104.29,103.77,"3,50,69,984","3,63,90,66,537.59","56,998","3,23,12,015",92.14
NXST,RR,22-May-2023,104.29,104.70,104.70,103.90,104.06,104.02,104.05,"36,05,636","37,51,74,717.97","10,982","34,11,269",94.61
NXST,RR,23-May-2023,104.02,104.15,104.15,103.75,104.05,104.03,103.96,"31,47,795","32,72,52,508.07","12,350","30,84,769",98.00
NXST,RR,24-May-2023,104.03,104.03,104.19,103.95,104.00,104.01,104.03,"20,63,175","21,46,41,755.08","4,276","20,33,374",98.56
NXST,RR,25-May-2023,104.01,104.11,104.11,103.50,103.60,103.65,103.76,"3,79,160","3,93,42,273.84","2,453","3,59,728",94.87
NXST,RR,26-May-2023,103.65,103.01,103.95,103.01,103.88,103.80,103.59,"11,45,737","11,86,92,317.08","2,373","10,89,825",95.12
NXST,RR,29-May-2023,103.80,104.00,104.11,103.30,104.00,103.99,103.98,"9,82,398","10,21,50,915.52","3,647","9,51,802",96.89
NXST,RR,30-May-2023,103.99,104.06,104.10,103.94,104.05,104.04,104.01,"14,91,038","15,50,76,165.73","16,163","14,85,393",99.62
NXST,RR,31-May-2023,104.04,104.06,104.06,103.81,104.00,104.00,104.01,"1,96,546","2,04,42,757.35","1,107","1,89,832",96.58
NXST,RR,01-Jun-2023,104.00,104.06,104.06,103.85,104.00,103.97,103.98,"1,99,066","2,06,98,167.42","1,091","1,96,106",98.51
NXST,RR,02-Jun-2023,103.97,103.97,104.75,103.97,104.66,104.67,104.44,"7,35,578","7,68,22,617.99","1,971","6,93,999",94.35
NXST,RR,05-Jun-2023,104.67,104.90,105.55,104.67,105.21,105.13,105.09,"19,28,051","20,26,27,558.47","1,779","18,76,248",97.31
NXST,RR,06-Jun-2023,105.13,105.21,106.35,105.13,106.30,106.04,105.90,"14,59,274","15,45,35,349.56","1,518","14,19,618",97.28
NXST,RR,07-Jun-2023,106.04,106.37,106.84,106.25,106.40,106.46,106.52,"3,21,394","3,42,33,608.50","1,641","3,04,635",94.79
NXST,RR,08-Jun-2023,106.46,106.75,107.08,106.00,106.80,106.79,106.47,"5,58,428","5,94,53,197.00","1,716","5,40,257",96.75
NXST,RR,09-Jun-2023,106.79,107.32,107.32,106.80,106.80,107.05,107.07,"5,22,612","5,59,55,615.30","1,713","4,96,380",94.98
NXST,RR,12-Jun-2023,107.05,107.43,107.85,106.00,107.00,107.26,107.11,"9,95,551","10,66,28,822.97","4,646","9,79,200",98.36
NXST,RR,13-Jun-2023,107.26,107.86,107.90,106.50,106.97,106.96,107.05,"1,59,231","1,70,45,124.00","1,182","1,39,705",87.74
NXST,RR,14-Jun-2023,106.96,107.80,107.95,106.10,107.10,106.99,106.97,"6,61,236","7,07,32,420.12","5,104","6,12,300",92.60
NXST,RR,15-Jun-2023,106.99,107.90,107.90,105.42,106.00,105.99,106.94,"50,74,089","54,26,03,184.52","5,617","47,73,987",94.09
NXST,RR,16-Jun-2023,105.99,107.09,107.09,105.50,105.80,105.88,106.12,"2,56,076","2,71,74,180.93","1,288","2,37,677",92.82
NXST,RR,19-Jun-2023,105.88,106.33,106.89,105.88,106.74,106.70,106.60,"1,54,777","1,64,99,926.26",832,"1,41,066",91.14
NXST,RR,20-Jun-2023,106.70,106.89,106.89,105.75,105.95,105.90,106.08,"1,85,166","1,96,41,491.57","1,045","1,50,816",81.45
NXST,RR,21-Jun-2023,105.90,106.30,106.50,104.76,105.44,105.06,105.54,"11,26,858","11,89,26,859.73","1,852","10,29,882",91.39
NXST,RR,22-Jun-2023,105.06,105.44,106.50,104.90,106.50,106.02,105.91,"30,74,298","32,55,85,584.68","3,282","28,75,462",93.53
NXST,RR,23-Jun-2023,106.02,106.83,106.83,105.25,106.00,106.00,105.74,"2,19,917","2,32,52,934.23",763,"1,88,778",85.84
NXST,RR,26-Jun-2023,106.00,106.00,106.55,105.76,106.25,106.34,106.17,"4,74,757","5,04,02,986.76","2,361","4,44,852",93.70
NXST,RR,27-Jun-2023,106.34,106.00,106.39,104.95,105.45,105.32,105.37,"3,72,045","3,92,00,939.39","1,501","2,98,713",80.29
NXST,RR,28-Jun-2023,105.32,106.00,106.00,105.00,105.37,105.45,105.47,"82,206","86,70,344.74","1,538","59,490",72.37
NXST,RR,30-Jun-2023,105.45,105.80,107.00,105.25,106.95,106.95,106.38,"3,21,166","3,41,66,541.65","4,680","2,57,803",80.27
NXST,RR,03-Jul-2023,106.95,107.00,108.50,106.95,108.00,108.12,107.83,"1,84,748","1,99,21,592.59","1,998","1,54,195",83.46
NXST,RR,04-Jul-2023,108.12,108.55,109.55,108.36,109.00,108.99,108.57,"16,28,889","17,68,51,675.75","4,054","15,62,693",95.94
NXST,RR,05-Jul-2023,108.99,109.40,111.35,109.10,111.24,111.17,110.47,"4,41,587","4,87,84,293.02","3,794","3,46,057",78.37
NXST,RR,06-Jul-2023,111.17,112.50,113.10,110.51,112.00,111.94,111.98,"3,43,547","3,84,71,908.70","2,833","2,93,348",85.39
NXST,RR,07-Jul-2023,111.94,113.45,113.45,111.00,113.00,112.95,112.35,"2,67,427","3,00,45,970.42","3,619","2,16,218",80.85
NXST,RR,10-Jul-2023,112.95,113.45,113.50,111.20,111.99,111.93,111.92,"5,15,026","5,76,40,897.73","2,629","4,69,438",91.15
NXST,RR,11-Jul-2023,111.93,112.10,113.75,111.96,113.75,113.04,112.77,"5,77,623","6,51,38,694.48","4,082","4,99,710",86.51
